#{"t_start": 1780297418.6229866, "env_id": "None"},
r,l,t
-359.862847,26,2799.664904
-378.466446,22,2809.104716
-700.9244,32,2819.352062
-530.878533,41,2829.102454
-508.236381,38,2839.368471
-520.120357,39,2848.954598
-391.82622,24,2858.338934
-550.736205,38,2868.483523
-336.952038,22,2877.288551
-376.256399,20,2886.031468
-304.792284,14,2895.451634
-450.146757,40,2906.182332
-216.414698,12,2914.924609
-533.588678,48,3050.635705
-527.924731,53,3060.88423
-226.117216,13,3069.970072
-483.128151,28,3079.454731
-260.167617,14,3088.794173
-457.092067,40,3098.638968
-701.911705,61,3109.16375
-246.268614,13,3118.516273
-530.513306,32,3127.741198
-646.445963,49,3137.817792
-300.886784,16,3146.401412
-317.889365,13,3155.0979
-439.599488,26,3164.886349
-320.301909,19,3173.44914
-447.264099,35,3183.001014
-382.43469,19,3192.596959
-615.861274,36,3202.163759
-380.970757,25,3211.550226
-207.404136,12,3220.662261
-308.345505,16,3229.131909
-305.529883,18,3238.012249
-339.385522,19,3247.036453
-300.545642,18,3256.377889
-347.850777,18,3265.318459
-378.07241,19,3274.19234
-314.633987,18,3283.684399
-655.97687,49,3294.06675
-338.419863,18,3302.843728
-315.87089,41,3313.250023
-598.269533,38,3322.830925
-294.370392,17,3331.539311
-198.835206,13,3339.572727
-369.638751,25,3348.37634
-322.299644,19,3357.597012
-572.163496,37,3367.332112
-397.231031,34,3377.194595
-296.033529,15,3386.100887
-413.452478,23,3395.332651
-381.11203,25,3404.755513
-405.222325,34,3414.982191
-254.88216,20,3424.352162
-586.851594,52,3434.778113
-404.182076,27,3443.855082
-585.611982,32,3453.865882
-265.975985,13,3463.207785
-339.116228,20,3472.589318
-509.338102,45,3483.266101
-340.325906,20,3491.889262
-397.682253,24,3616.370903
-421.155972,38,3626.491065
-465.011473,48,3636.333578
-314.11509,16,3645.641094
-405.526817,56,3656.706654
-361.583838,22,3665.889251
-467.56046,36,3675.76093
-629.977857,46,3685.840014
-202.212509,12,3694.475221
-416.364523,22,3703.169238
-316.975942,15,3711.562533
-493.068284,39,3721.006469
-451.164636,50,3731.738528
-363.128247,54,3743.207901
-398.581175,39,3753.830029
-298.587115,22,3763.5081
-286.900509,15,3771.881921
-359.364822,23,3781.38427
-262.803133,13,3790.659099
-356.67904,19,3799.884688
-272.804589,16,3809.935742
-618.478362,54,3820.277636
-493.396313,29,3830.060149
-392.521456,23,3838.905384
-684.435339,50,3849.129409
-372.241546,22,3858.51739
-253.85287,14,3867.85542
-315.955546,18,3877.246398
-352.330495,21,3886.536591
-369.50314,18,3895.240531
-515.618818,47,3905.996266
-651.253102,34,3915.187118
-363.773103,24,3924.682992
-576.670147,49,3934.562075
-475.15283,30,3944.416904
-509.225748,34,3953.507531
-344.107952,21,3962.6483
-312.486827,14,3971.724602
-308.406383,15,3980.552628
-297.53844,20,3989.931811
-359.968215,25,3999.149186
-396.063993,27,4008.633591
-445.931229,28,4017.659605
-345.995606,37,4027.948928
-300.955918,14,4155.375887
-327.399102,36,4165.520265
-332.564621,20,4174.743043
-324.716302,19,4183.115548
-363.467624,19,4192.64545
-475.952909,38,4202.153225
-310.684812,19,4211.584601
-415.30327,38,4221.432636
-269.878281,14,4229.664348
-383.515414,26,4239.340321
-730.174922,71,4250.482419
-338.816166,17,4259.465827
-648.011841,63,4270.911424
-2539.655027,174,4287.347585
-512.377545,41,4297.17797
-508.445369,43,4306.783216
-503.764932,36,4316.10644
-288.048463,14,4325.28043
-332.153609,17,4334.572668
-606.774557,39,4344.416795
-253.030998,13,4353.805659
-295.530605,17,4362.287905
-341.392701,21,4371.121716
-469.041454,27,4379.905588
-184.256042,12,4388.060649
-317.873381,13,4396.864477
-437.993177,33,4406.487943
-416.495031,29,4416.232924
-378.342347,28,4425.315531
-341.501067,16,4434.405553
-354.004156,23,4443.887263
-308.388521,15,4452.015538
-456.698897,35,4462.152055
-5215.722415,391,4617.878281
-642.354918,49,4628.958077
-619.317289,43,4638.632717
-428.715314,29,4647.453315
-793.085885,79,4658.951622
-271.556827,14,4667.094184
-333.940153,19,4676.475938
-672.666221,64,4687.425959
-544.649949,46,4697.716072
-360.238145,24,4707.450416
-367.072938,21,4716.280934
-762.468968,44,4726.0134
-403.18145,29,4735.710697
-221.276658,14,4744.290717
-384.379981,27,4753.879179
-467.907098,42,4764.179686
-319.618525,20,4773.575451
-563.562374,41,4783.562435
-330.312567,44,4794.296947
-231.948236,17,4803.088271
-314.769368,16,4811.771019
-477.22363,53,4822.2854
-760.466847,68,4834.021135
-3443.593974,234,4853.159272
-334.545636,17,4862.594891
-354.049017,25,4871.804759
-547.107326,51,4882.223771
-192.362331,11,5029.54218
-418.947291,29,5039.174911
-336.410584,16,5048.466103
-360.086345,20,5056.965094
-225.957173,12,5065.778625
-338.434035,21,5074.446368
-229.44181,16,5083.042732
-317.539649,17,5092.626168
-186.149648,11,5101.385068
-269.610817,24,5109.963328
-224.837254,12,5118.414662
-399.854403,28,5127.503871
-415.721087,29,5136.793025
-292.100743,14,5145.219164
-212.15032,13,5153.611342
-214.814225,14,5162.843079
-290.512419,16,5171.421567
-386.7014,21,5180.430477
-611.45486,57,5190.847828
-276.466058,14,5199.73982
-304.951775,14,5208.708923
-365.167583,21,5218.149616
-212.579916,12,5226.904556
-339.827469,37,5237.142535
-303.386028,17,5246.637074
-320.518514,15,5255.053722
-328.861852,19,5263.799664
-366.455084,40,5273.344804
-355.271481,21,5282.836064
-491.2821,35,5292.276815
-429.92774,27,5301.537626
-305.7057,17,5310.126131
-337.129932,21,5318.658412
-347.21656,16,5327.744486
-285.180582,18,5337.202957
-486.501107,37,5346.5928
-384.567871,31,5356.397596
-360.884955,20,5365.923812
-346.352205,21,5374.44804
-272.30189,23,5384.103371
-431.754677,34,5394.150695
-339.16116,22,5404.219705
-331.850996,16,5413.802394
-2486.40362,192,5431.398338
-329.149242,28,5441.141464
-396.729637,27,5449.97856
-588.373598,50,5460.774589
-573.589165,41,5470.41613
-289.244441,13,5479.449769
-447.16384,31,5605.742847
-322.098352,19,5614.376308
-672.401581,55,5624.811631
-204.878369,11,5633.728899
-313.338667,15,5643.112091
-351.324963,16,5651.670846
-352.234009,22,5660.14209
-408.612748,24,5669.666817
-298.865675,17,5678.596798
-332.921026,16,5687.148067
-180.704911,11,5696.298091
-244.980214,17,5705.687805
-320.099615,23,5715.127567
