"#{""t_start"": 1778824503.1099143"," ""env_id"": ""None""}",
r,l,t
-229.460062,18,2627.473479
-250.686793,19,2637.751264
-253.33383,15,2646.780142
-98.890408,36,2657.511178
-243.796283,22,2667.394343
-169.213,17,2675.935088
-140.159941,22,2685.693756
-140.862754,16,2695.600896
-254.371412,19,2704.403874
-215.696351,41,2714.686199
-397.167112,38,2725.338051
-12.955457,36,2734.772035
-555.168324,36,2745.619431
-157.093408,13,2755.401017
-362.607855,35,2765.832887
-358.798892,35,2777.186238
-163.68204,12,2786.49322
-162.872706,14,2794.823546
-143.602366,14,2804.160543
-428.949373,33,2815.401901
-126.485629,12,2824.187604
-220.402543,35,2834.968702
730.680669,386,2952.817335
-124.558357,12,2960.966528
-467.491457,34,2972.141727
-161.890184,13,2981.740801
-174.473002,17,2990.41763
-141.630326,13,2999.999795
-159.410902,14,3008.817524
-211.874351,16,3018.448416
-141.213257,12,3028.396217
-192.074338,17,3037.799463
-184.165223,13,3048.305645
-122.29541,12,3057.899737
-100.534274,41,3067.380944
-242.138577,38,3078.255652
-379.148504,43,3089.157583
-150.315144,16,3098.308629
-229.472115,17,3108.431296
-330.8941,39,3118.865807
-91.559212,40,3128.40807
-161.534374,22,3138.574137
-154.272203,15,3148.00981
-162.607491,13,3156.803535
-149.686496,43,3168.258242
-135.677249,12,3178.053169
-146.651336,12,3186.595445
-122.298307,16,3195.826285
-338.451788,39,3206.67513
-328.225846,37,3216.433374
-139.420961,12,3226.2451
-1381.494345,223,3246.687807
-263.33298,19,3256.227495
-344.149743,38,3369.479498
-305.179026,40,3379.274727
-244.752052,19,3389.721135
-103.535616,38,3400.139173
-143.842441,15,3409.562454
-156.646308,15,3419.014742
-292.535279,34,3428.276138
-109.878482,14,3437.484729
-263.428449,19,3447.488858
-205.549074,14,3456.902225
-242.1917,41,3467.63561
-186.070792,12,3477.839485
-1446.405631,184,3495.859324
-160.967811,40,3506.994734
-155.955977,16,3515.710042
-148.604553,21,3525.323538
-43.906016,43,3535.8224
-5500.69091,549,3573.177031
-336.432702,36,3584.661834
-177.181575,36,3594.199306
-373.720736,54,3605.268021
-290.687589,22,3615.119535
-126.267097,14,3732.419859
-168.452651,38,3742.713832
-140.151281,14,3752.510056
-86.873922,35,3762.849077
-123.492794,53,3773.562226
-295.732541,36,3784.531137
-164.506482,14,3794.62676
-229.922912,23,3804.287743
-291.554077,37,3814.152842
-259.818973,34,3824.532564
-120.405832,12,3832.845067
-80.487941,54,3844.673374
-169.869002,14,3855.00494
-135.675999,16,3863.813887
-176.753376,15,3872.89004
-116.340533,40,3884.031562
-162.476699,13,3893.232285
-1962.691894,248,3915.652623
-306.533011,32,3926.536331
-146.2173,12,3935.276886
-146.192023,20,3945.838928
-286.473631,34,3956.456291
-304.530025,36,3966.519697
-332.221994,52,3978.541624
-137.818839,13,3988.01087
-138.171432,13,3996.659999
-133.383092,12,4006.231055
-223.757569,22,4016.932613
-109.791317,15,4025.315648
-154.9201,34,4035.61651
-122.405669,33,4045.611484
-248.873184,22,4055.177935
-213.890918,18,4065.465916
-127.189503,13,4075.621893
-119.242749,42,4086.616154
-136.769581,15,4096.037539
-129.440868,15,4105.468403
-128.112396,13,4114.860524
-147.71415,35,4125.997165
-158.795934,36,4136.862902
-141.031869,14,4145.329739
-160.728786,14,4154.718419
-159.690108,14,4281.688956
14.643744,71,4294.342104
-170.109533,40,4304.632016
-160.997211,15,4313.13942
-221.737144,30,4323.102126
-140.781662,12,4332.647171
-1092.452802,262,4355.026337
-205.532684,34,4365.386273
-257.85681,15,4374.678119
-3451.913992,352,4401.964464
