"#{""t_start"": 1778824503.1099143"," ""env_id"": ""None""}",
r,l,t
-154.279515,14,15852.57891
-231.082947,33,15863.25555
-186.92058,38,15874.09922
-44.639117,57,15884.7435
-43.137484,64,15897.22381
-94.836422,48,15908.6907
-119.308633,53,15920.00553
-127.60793,47,15930.29157
-63.991375,53,15941.26566
-1469.384864,171,15958.31965
-15.576647,63,15970.38603
-213.60565,29,15980.87555
-79.609844,44,15992.44963
-59.616042,71,16003.88524
-1243.093973,200,16024.11968
-1199.895881,197,16042.59522
-12.200333,52,16190.80479
-37.065648,36,16200.95824
-184.478542,21,16210.69116
-135.298436,13,16220.81723
-65.670961,38,16230.94651
-26.261613,59,16241.63713
-1426.578006,163,16259.00736
-111.70922,42,16270.05737
-12.200426,48,16281.74315
-1505.440371,172,16299.00878
-74.709013,40,16309.92491
-37.764068,53,16320.45738
-92.498262,53,16331.38094
-1389.791205,171,16349.02231
-155.857397,14,16359.25912
393.660077,133,16374.8673
-17.913486,44,16385.68596
-100.720532,40,16395.91276
-121.772391,36,16406.56296
-133.073538,12,16416.56737
-49.352318,42,16426.30842
-128.620778,41,16572.24558
-111.38436,39,16583.44058
-133.743756,13,16593.40544
-1472.118389,173,16610.46261
-113.827314,42,16621.27862
-78.893847,51,16631.24726
-214.766887,16,16641.52035
-1226.58325,162,16657.85441
-1343.589917,160,16674.45968
-1043.55225,227,16695.05151
-189.289389,31,16705.65423
-1514.767236,186,16723.69595
-140.430401,53,16734.95949
167.567516,81,16748.36791
-1378.932118,165,16911.4592
-1208.560998,162,16928.60278
18.782726,45,16939.86893
-118.628217,53,16951.17342
-156.653327,38,16961.46597
-106.176536,44,16972.41204
-218.850484,15,16982.69388
-1253.441117,162,16999.06698
-73.026709,45,17009.8612
-1377.097173,160,17027.75117
-120.199823,13,17036.69009
-1456.306586,164,17053.46599
-2043.821705,247,17218.14609
-1146.272401,202,17237.699
-148.321169,13,17246.84402
44.117486,62,17258.92486
-89.013708,41,17269.64334
-120.801636,13,17278.22092
-21.539048,38,17289.54007
-2195.472666,249,17310.76756
-121.70763,13,17320.59369
-112.966128,13,17329.6952
-168.361519,36,17339.64696
-9.519516,48,17350.75194
-1297.491035,173,17367.98422
-75.244343,49,17380.02811
-30.254091,37,17391.11643
-104.911657,45,17400.98726
-49.763909,41,17411.66736
77.306768,67,17423.47094
-43.991008,38,17434.42085
-1170.907686,159,17589.67999
-80.613805,38,17601.17517
-159.000675,21,17610.56083
-93.690369,35,17621.84884
-51.232429,42,17632.54459
-105.843132,40,17644.19723
150.612114,102,17658.80722
-2.644291,39,17668.25266
-1243.598839,174,17685.61869
-174.844295,35,17696.80936
-86.049997,46,17708.31929
-121.868283,12,17718.52595
-148.999457,14,17727.75739
-47.156647,37,17738.17889
-148.565053,14,17747.01707
-53.145605,43,17756.94775
-45.021269,39,17767.52962
-134.105821,16,17776.4504
-96.880872,39,17786.70933
-14.937836,43,17797.3714
-210.961582,35,17808.45852
-135.711578,12,17817.32253
-2424.455725,530,17975.68463
-178.880096,36,17985.52292
-34.377748,42,17996.23041
-2424.77051,278,18019.96155
-45.302639,53,18030.15331
-42.106263,45,18041.8553
-256.22173,37,18052.08918
-1554.219012,215,18071.5127
-83.721819,51,18083.22725
-1238.803756,175,18100.27834
-153.219097,14,18110.29002
15.541711,46,18119.99069
-150.628957,14,18130.29517
-85.653526,39,18141.47798
-75.302281,43,18151.60086
-115.16708,40,18300.54453
-1267.781439,164,18318.51943
-154.337902,13,18326.98138
-148.375794,15,18337.09347
-3371.16966,424,18368.11568
-14.423764,38,18378.64735
-67.873129,39,18388.35357
-85.610183,42,18399.03803
-65.716784,43,18410.2115
-1359.907981,172,18427.52117
-24.735286,45,18438.56731
-209.326641,24,18448.16119
-1219.687256,165,18465.01374
10.314825,52,18476.3645
-122.111922,14,18625.74115
35.404024,50,18637.14153
-15.521041,46,18648.59171
-78.854165,37,18658.41939
46.76082,63,18670.36305
-62.226957,46,18681.59373
-118.277402,38,18691.46183
-154.916437,13,18701.95635
-128.295312,11,18712.11682
-131.714128,38,18721.83577
-1227.402335,369,18750.75349
-107.962426,39,18762.11332
-5.141671,45,18772.67771
-4.258193,43,18783.65381
106.253336,62,18795.09511
-109.296971,41,18806.36816
-145.953293,12,18816.64768
-40.713344,46,18826.75269
-130.553114,12,18837.0928
-127.53716,13,18846.70131
-116.084667,38,18856.48813
-1336.90727,169,18874.57772
-105.040588,45,19011.05071
-87.043114,39,19021.30208
-120.524627,14,19031.59616
1.821421,50,19042.81777
-148.064466,14,19051.73299
-65.754803,45,19062.75982
-165.364259,16,19073.0744
-120.483021,35,19084.06349
-22.47753,46,19094.56117
-148.750829,13,19104.39231
-87.856023,41,19115.68225
-110.038877,41,19125.65118
-38.148523,33,19135.8552
-90.328372,43,19147.0736
-16.089521,38,19156.42577
-151.682495,38,19167.04737
-126.668661,12,19177.18814
-55.981434,46,19187.66864
-95.07083,38,19198.20015
-91.582365,41,19209.73842
-90.871775,40,19220.71504
-116.687757,36,19231.00543
-135.425622,37,19241.43198
-35.150276,54,19253.38801
-22.139849,53,19264.784
-39.74498,47,19275.1151
-25.394092,45,19285.89164
-95.348416,41,19296.79598
-96.095051,43,19307.44875
-169.09534,37,19317.20163
-278.180659,38,19328.68854
-274.407762,33,19340.09798
-59.796568,44,19350.85546
-170.141798,14,19360.34479
-8847.904156,1500,19657.73743
-142.75291,36,19667.55271
124.986408,59,19678.96941
-127.872431,13,19688.82978
-125.608061,14,19697.34622
-176.327429,35,19707.78776
-159.709388,15,19718.20985
-297.975077,34,19729.33692
-173.708808,14,19738.77264
-68.632468,54,19750.34325
-114.432827,38,19761.5432
-148.707805,17,19769.94677
-139.684234,14,19779.98837
-127.628256,13,19790.02572
-94.522869,40,19800.49816
-156.058805,36,19811.44757
-1341.362755,172,19828.55104
265.070074,107,19843.1727
-145.940997,15,19852.96529
-129.765973,40,19864.3733
-1200.156954,167,19881.4222
-99.898802,40,19891.03001
-59.209824,50,19902.35133
-151.593213,15,19912.19221
-107.533051,13,19920.40003
-55.501553,40,19930.73796
-155.068029,14,19940.3749
-209.896723,17,19949.80801
-152.661709,14,20094.71631
-60.83022,38,20104.96462
-115.435537,35,20114.20853
-58.37737,44,20125.39387
-120.583629,42,20136.57966
-18.505281,55,20147.13514
-55.016837,40,20158.27904
-188.058987,37,20169.22453
-106.066528,36,20180.08798
-1236.76772,164,20196.54166
-32.768115,52,20207.11115
-5965.62046,747,20371.97526
-73.903668,50,20383.52268
-196.932842,15,20393.84687
-164.765712,40,20405.02651
-205.086468,16,20414.45771
-68.667695,39,20425.27989
-75.069013,45,20436.63764
-145.886528,29,20446.09653
-102.465165,38,20456.79462
-129.317363,36,20466.98422
-4457.171437,565,20504.85041
-85.400328,50,20516.06477
-225.764646,39,20526.97433
-214.975458,23,20536.69999
-178.82655,15,20546.89313
-113.672952,14,20556.07327
-1357.163204,216,20576.36506
-135.031698,13,20586.49682
-98.207884,54,20716.47143
-165.893992,24,20726.989
15.374798,55,20738.21268
-126.819491,12,20746.81024
-1943.675888,321,20773.57033
-31.696546,37,20783.80502
28.927589,64,20796.07018
-127.893914,16,20805.39699
-34.425181,36,20816.12134
-60.769763,49,20827.14473
-31.901936,38,20836.86431
-78.886394,43,20848.27437
-4722.183761,502,20883.0552
-239.3873,42,20893.98889
173.308644,80,21031.91975
23.240302,48,21043.25266
-1398.48187,166,21060.12028
-1494.461523,173,21077.49139
490.372618,144,21093.86184
-1335.92652,164,21111.05462
-1179.986827,221,21130.75979
-1358.394772,203,21150.20809
37.947556,57,21162.52916
-258.274861,35,21173.37843
-95.795171,43,21328.92621
-204.938826,13,21339.19176
-124.121711,38,21349.10355
-1426.112375,198,21368.33943
-225.739605,27,21378.20273
-182.330407,29,21388.80457
7.706254,54,21401.08097
106.670616,75,21414.25045
-150.959075,49,21425.91865
-188.643264,56,21437.37083
-933.505722,237,21459.78836
-220.453441,17,21470.26735
-220.640307,29,21479.86323
-1317.792302,174,21497.04915
-175.937823,42,21508.46963
-1.753038,66,21520.36008
-21.693357,51,21531.6349
-227.296055,47,21541.74604
-1249.482178,170,21695.26172
-161.600071,22,21704.87798
-58.997329,41,21716.03245
-64.135975,41,21727.32298
-260.575645,31,21737.1916
-1252.283684,168,21755.41875
-179.187768,14,21765.02438
82.118105,56,21776.65607
-1201.408117,168,21793.80455
-1351.719154,165,21810.78032
-0.718548,66,21822.47382
-122.761676,39,21833.21694
-61.986298,51,21843.59203
8.427777,76,21856.0916
-186.071899,47,21866.88707
-34.194307,72,21878.92512
-1072.532231,160,22035.66079
17.03825,56,22046.85241
-1428.239277,169,22064.20046
-81.084588,49,22076.27379
-195.222375,15,22086.53868
-1264.361146,160,22103.40171
-21.399964,50,22114.22782
-812.506943,253,22135.90755
-63.767006,47,22147.41299
-47.511344,43,22157.71825
-146.181768,13,22167.79328
-1812.809011,335,22195.23728
-13.878548,61,22348.99266
78.158069,105,22362.76107
131.751952,82,22375.40623
-1378.387172,162,22391.88611
300.778717,99,22405.61442
-25.014954,39,22416.00439
-33.180975,39,22425.62407
-127.516036,51,22436.8833
-1195.303898,165,22453.81775
-46.363495,52,22465.12624
-52.303356,46,22475.99317
-217.354189,22,22485.51843
-3768.340747,603,22665.38615
-46.581997,45,22676.95554
-133.664713,36,22687.9152
-208.734949,14,22697.34724
-83.960306,47,22708.3046
-1210.508072,194,22726.89455
-172.499057,35,22737.09049
0.362204,36,22747.45604
-84.584436,41,22758.07656
-1190.282564,156,22774.3058
-7009.558588,791,22947.86314
-62.1222,45,22958.69136
-1308.720564,174,22976.42995
-77.724229,39,22987.0052
-1257.204708,176,23004.22604
-68.455841,34,23013.93512
-44.443743,60,23026.09954
-1274.570103,167,23043.03546
-1008.647786,261,23196.5233
-60.141029,51,23207.62304
-2211.146254,386,23236.64417
18.785166,42,23247.17989
-130.49835,21,23256.7957
-82.002825,41,23267.06063
-102.448887,42,23277.58071
-136.391103,12,23287.62147
-25.206335,66,23298.67902
-37.280759,42,23309.56141
-126.698876,14,23319.54743
-99.857447,36,23329.52441
-33.573202,54,23340.83559
-146.244312,13,23350.75525
-77.327472,40,23361.54765
-175.963681,12,23370.94368
-129.859302,12,23380.90033
-1403.190505,184,23398.99028
-33.653322,41,23409.31945
-124.845441,41,23419.53848
-167.584994,23,23429.91334
-499.988,259,23584.11091
-23.022113,50,23595.22786
-66.479842,39,23605.98403
-1345.409078,167,23622.94291
-75.739668,44,23634.104
-1412.236626,205,23653.87096
-35.42537,44,23664.70938
-124.946357,14,23673.9918
-173.348003,39,23685.48384
-1219.774059,174,23702.51185
160.197826,75,23714.77559
-202.041853,14,23725.21541
23.217333,57,23736.48271
-1705.757777,227,23899.1479
-80.429268,44,23910.29384
-59.549801,77,23922.88877
-136.934259,14,23932.88926
5.076021,58,23943.45048
-107.126892,37,23953.6099
-1233.885571,181,23971.22492
-1243.349575,169,23988.65564
-205.277851,17,23998.99344
-113.358516,37,24009.8188
-7047.263552,790,24184.96754
-123.83589,15,24195.01205
-222.174897,20,24205.57857
-37.166468,41,24216.98536
-3217.160509,699,24262.74739
-137.523658,48,24273.00225
-1266.199696,164,24289.94008
-873.97306,241,24433.17888
-1206.819995,160,24449.71687
-47.995149,38,24460.67673
-103.992326,49,24470.69807
-68.860723,46,24480.89358
174.124878,69,24492.56826
146.586062,83,24505.71674
-42.037123,52,24517.14428
-57.818563,42,24527.08593
-79.036116,43,24538.47914
-115.056435,51,24549.97233
26.049981,73,24562.25462
-96.01404,37,24572.39491
-154.847307,44,24583.93447
-112.421369,36,24595.14067
-45.163765,49,24607.21174
63.803452,72,24618.82508
-129.135752,12,24628.7799
-131.472826,12,24638.84756
-1017.449058,243,24792.3234
-57.616262,45,24803.02971
-75.582779,47,24813.32792
-23.600769,51,24824.72482
-14.012707,49,24836.11282
-43.472575,52,24847.9955
-199.882289,38,24858.54149
-115.988128,15,24868.40017
135.957343,73,24880.62043
-111.045106,39,24890.70901
-135.419875,46,24900.89036
-1154.56325,212,24920.44338
-204.203028,13,24930.47531
-0.232173,55,24942.14527
-53.130198,55,24953.81873
901.620654,264,24976.41881
57.25805,44,24987.12419
-26.834585,55,24998.68719
-1273.648653,175,25152.69975
-113.833778,36,25163.8726
1620.918999,327,25189.42616
-106.314015,44,25200.93089
25.915779,62,25213.19593
-53.321013,51,25224.34181
-70.753039,38,25234.01605
-79.505422,39,25244.59649
-106.334321,35,25256.05954
-155.842331,14,25265.16395
-1303.362226,163,25282.95951
-123.926538,36,25293.40507
-99.09625,37,25304.3617
-133.98397,39,25315.76808
-41.16371,40,25325.53717
131.925925,77,25338.49179
-34.839209,47,25350.1129
-157.497125,38,25361.1632
-1209.240866,159,25505.49662
-1757.847587,328,25531.64667
-146.187296,17,25541.72033
-48.356291,46,25553.88254
-25.86567,41,25564.06295
-62.751897,44,25575.07569
-103.005421,14,25584.12825
-166.671651,35,25594.48804
-97.285275,36,25605.50359
-118.867571,45,25616.49686
-96.17132,43,25626.24477
-136.081906,12,25635.65528
-1203.412123,170,25652.38696
-75.837061,34,25663.44187
-36.396829,52,25674.70673
978.812553,228,25695.32697
-133.512849,11,25705.32321
-89.19998,43,25854.9184
-7084.755193,904,25910.61615
-83.732437,39,25922.09402
-153.345925,28,25932.8081
-125.002547,13,25943.26617
0.766181,56,25953.95493
-128.381508,14,25963.02249
-142.366608,14,25972.90316
-48.785291,38,25983.29938
-6.513284,42,25993.87066
-135.504084,12,26004.21569
-1355.009528,183,26138.28855
-3352.297601,730,26185.61518
-150.259621,13,26194.97762
-66.567627,39,26206.61846
-4983.40205,708,26368.43196
-152.452609,13,26378.04597
-51.235964,41,26388.20396
-24.711083,50,26399.73679
-1237.857883,166,26417.21942
6.155109,45,26428.40869
-103.849971,36,26438.9079
-51.470585,53,26449.64881
-1248.169196,228,26471.30387
-1299.592198,238,26492.5442
-78.886881,40,26503.83116
61.119192,71,26655.96263
-5.79381,50,26667.49854
-4566.688287,498,26701.97855
-1288.64989,171,26718.84976
-144.10986,16,26728.76073
99.410297,59,26740.0947
-12.697464,68,26751.67893
-35.216098,52,26762.19708
-128.466436,12,26772.33612
-9649.626121,1500,26987.7833
-1283.404355,169,27111.96559
-160.290285,28,27121.76431
-111.415104,53,27132.87309
81.864592,68,27145.52854
457.143881,128,27161.58678
-252.839083,48,27171.86143
-838.396545,293,27196.23693
-80.713596,73,27208.60918
-281.118178,53,27219.77142
-116.768244,12,27229.10261
-18.134571,39,27239.58047
-2121.328489,245,27260.51027
-1305.114146,171,27278.68595
-23.275685,60,27431.40114
-10683.44035,1500,27622.47545
-2099.191041,274,27645.779
-190.164369,24,27656.33136
-1593.065828,181,27674.00226
-78.36967,41,27684.88451
-222.50926,43,27695.06176
-136.948423,68,27707.072
-186.35081,14,27717.52994
-224.637029,15,27726.97407
-205.949526,26,27736.98602
-3679.173026,647,27916.75887
-128.681101,20,27926.49898
161.732271,84,27939.6104
-142.667642,14,27948.64994
-12.033396,53,27960.58871
-83.994474,44,27971.36247
-214.321887,53,27981.84369
-195.771285,44,27992.7857
-172.915669,15,28003.25188
-194.02927,17,28013.56716
-6006.679015,767,28181.83306
-91.969954,44,28191.82408
-81.903969,45,28203.51108
53.879663,66,28215.4355
-992.02694,224,28236.19188
-29.050866,58,28247.93216
-174.015493,16,28258.23279
-164.867235,15,28267.6379
-38.104268,45,28277.47565
-195.151562,13,28288.01857
-6.09358,66,28299.73694
1.543601,49,28309.82324
45.128717,47,28320.57352
-1295.969728,180,28338.05623
-94.821954,43,28348.92253
-144.225903,38,28359.48236
63.536545,54,28369.87355
-109.863389,39,28380.58523
-198.30671,14,28390.93291
-120.155089,12,28399.65723
-78.665627,46,28410.45792
-176.016534,14,28420.6861
-134.008889,15,28429.74398
2192.420799,395,28607.30816
-205.842836,21,28617.67283
245.173204,90,28631.15944
-112.732964,37,28641.92319
1082.112019,212,28663.0491
18.451091,48,28674.58426
-1.03598,61,28685.46871
-53.172093,45,28697.18789
-9.051037,64,28708.72486
1820.862479,342,28860.25526
-1238.733023,185,28878.11751
-1948.31284,571,28917.23857
-98.681304,44,28927.86053
-3567.615521,683,29091.53374
-80.237214,37,29102.74454
-146.48083,37,29113.15262
34.682933,66,29125.55195
-53.538288,43,29135.78124
-160.74634,12,29145.93792
-63.130908,63,29157.81181
-23.598816,44,29168.13238
-24.612612,60,29180.28191
-180.518871,17,29190.53906
-17.774465,48,29202.35065
11.565725,60,29214.74027
-71.077981,43,29224.93056
-100.809294,35,29236.04623
28.882974,43,29247.56274
-140.879872,15,29256.98759
287.710515,118,29272.19993
-117.775426,37,29283.1089
-205.925158,18,29293.41278
267.812377,90,29306.5297
-77.504658,37,29316.86797
19.995321,40,29328.19039
-87.504475,40,29339.02454
-59.701503,46,29479.05145
-183.39648,15,29489.28816
-8.24709,46,29500.28859
40.565824,52,29510.74009
-6613.807188,847,29564.96959
-26.679391,54,29577.19566
-117.782704,11,29585.51252
25.298654,59,29597.838
-138.344219,36,29608.88701
-165.223141,34,29618.2933
-23.974527,45,29628.02817
-83.919139,42,29639.59253
17.42592,371,29783.13145
460.425924,141,29799.64147
-137.371012,16,29809.10038
1968.045988,351,29836.16153
-93.595853,38,29847.54516
438.397111,138,29863.65824
-147.061737,41,29874.77639
80.205962,72,29885.75922
25.350097,50,29896.77111
-210.329095,39,29907.38055
-144.18135,15,29916.5179
159.520614,64,30074.11172
-27.436248,26,30083.57901
44.098938,59,30095.66769
-19.101883,54,30107.62403
94.796279,62,30119.03746
-157.87085,38,30128.65133
-157.996529,17,30139.1241
-1007.604719,591,30179.50504
6.403165,54,30190.75851
-155.710869,15,30200.31133
-77.647412,40,30211.36736
-30.942027,44,30222.59313
-69.821904,44,30232.57906
-10.596199,46,30243.69011
-4294.39762,595,30406.29304
-36.101076,53,30418.00158
-143.987895,13,30427.34034
-159.904251,16,30437.96842
-26.468531,51,30449.79097
40.631533,64,30461.47773
-84.907859,60,30472.22262
-139.553811,39,30483.95687
141.145611,66,30495.95139
-75.83437,42,30507.167
-64.424463,44,30517.42894
-27.734635,38,30528.57032
-1049.041197,370,30672.36859
-1083.77902,255,30694.40467
10.02378,62,30706.23023
-87.471979,46,30717.56354
-1159.270353,435,30748.94938
-663.897462,281,30772.43653
-7.128039,42,30783.09899
77.134783,53,30794.24813
-87.304246,43,30805.19948
-123.980283,35,30815.43369
-6.643218,45,30953.72973
-56.15171,36,30963.88462
543.741034,479,30997.37927
188.236874,71,31010.13963
-199.084628,14,31020.44041
-209.464099,28,31031.16709
-110.706173,31,31041.19818
-193.748101,18,31051.67192
-1138.283172,169,31068.44779
-72.446666,35,31079.08921
-41.376614,52,31089.11675
-156.557483,15,31099.48584
59.76017,60,31111.08885
-3797.829483,1292,31312.55664
-56.703922,47,31323.49037
-66.824503,41,31334.71291
-2424.809327,488,31476.43113
-10852.12247,1500,31668.52692
-79.228346,43,31679.43157
-87.166427,36,31689.37186
-137.803092,20,31698.00785
-283.363717,36,31708.86205
-136.122091,16,31717.36902
-224.794122,43,31728.73869
-148.969733,16,31739.0897
-177.525497,34,31748.79071
-121.345843,14,31758.95992
-226.737681,36,31769.3018
-91.701308,48,31779.21124
-26.660406,48,31789.58518
30.455354,56,31801.33083
-265.429076,42,31812.71605
-73.411308,42,31823.05877
-136.55817,13,31832.27339
-137.161996,16,31841.73413
-130.856266,12,31850.44775
-113.647621,37,31861.49259
-126.293343,12,31871.64423
-86.02602,43,31882.08628
-75.487514,44,31892.70753
-107.174999,15,31901.74668
-14.076454,48,32027.0064
-1222.736733,467,32060.43002
-190.651697,39,32071.77718
-121.473772,15,32082.23831
-136.707448,13,32091.45054
-87.714192,43,32103.06998
-149.223173,36,32113.50795
-200.390197,38,32123.12845
-194.36341,14,32133.38574
-103.881431,35,32145.05574
55.296735,47,32155.9947
16.96739,63,32166.94799
-70.59793,42,32177.83496
23.003604,46,32189.06525
71.555879,55,32199.65123
6.229327,50,32210.01871
22.71537,49,32221.05539
-140.431678,13,32231.34728
-45.954099,47,32241.32347
-144.383404,12,32251.21637
54.903409,70,32263.05611
-149.175371,42,32408.56321
93.059854,66,32420.22328
-1196.899027,180,32438.00205
-137.491983,13,32448.1104
232.587831,85,32461.13458
722.220796,161,32477.94593
-65.061643,42,32488.40834
-145.088486,13,32497.90965
-53.92727,44,32508.67057
-22.999884,57,32520.15369
-9.032708,51,32531.7998
-51.161309,39,32542.16937
-2.923966,57,32553.65176
-37.729354,43,32564.9377
-138.582027,14,32574.44732
-1077.825705,205,32594.15528
-3436.190853,771,32783.68022
-0.617293,47,32795.2291
92.105272,69,32807.76974
-7535.003225,866,32973.56232
-34.49717,51,32985.19431
-55.996919,49,32995.1728
-1233.952021,196,33014.38044
-91.813456,39,33024.29522
-1156.577153,170,33042.45007
-2005.032834,359,33068.8593
0.99314,44,33079.91719
-88.094777,42,33090.88168
-62.714959,41,33102.29329
-137.691834,14,33110.80129
-61.870378,40,33255.89122
-88.703049,37,33266.3209
92.012098,70,33277.66701
-32.805274,52,33288.8002
-81.360533,43,33299.38289
-26.865398,45,33310.28217
-104.756729,37,33321.31857
-1.741688,49,33332.55695
10.498405,44,33343.68127
-1055.871329,213,33363.49059
-86.010154,45,33374.5918
-935.816335,219,33394.85825
-13.489067,53,33405.8103
-7228.900841,906,33593.09292
-199.701596,33,33603.83174
-153.847371,42,33615.2958
-51.578114,40,33626.92731
-10.075307,46,33636.77273
-147.782425,14,33646.98449
-112.913552,39,33658.43224
-28.449992,36,33668.78984
-32.583811,47,33679.42112
39.805012,53,33690.32215
-1070.430563,201,33708.76689
-143.763724,23,33719.25476
86.665126,71,33731.67232
-63.200431,47,33742.1265
-4041.517864,559,33902.77401
-1969.846371,345,33930.4042
-4237.536572,1012,34123.66324
13.366131,59,34134.77115
-34.318652,51,34146.52768
-20.579437,58,34157.82553
-233.272786,49,34168.79805
-324.329707,78,34180.23126
-1416.482332,635,34335.12973
-195.671991,21,34344.78465
-482.111172,294,34368.97922
-194.463236,31,34379.71965
-211.240472,32,34389.42833
12.937286,63,34400.86977
-102.264768,42,34412.42267
1415.473493,248,34434.20365
-1090.974401,212,34454.01044
-5726.828271,725,34632.89769
-11024.27104,1372,34819.35696
136.940064,69,34831.36294
-1300.326272,174,34849.08729
-27.594709,51,34860.19379
-10.477361,49,34870.76281
-200.222846,20,34880.71019
-310.070108,43,34891.7396
-8.765672,55,34903.18726
385.028385,123,35032.70523
-1614.414297,225,35054.11208
-364.485593,307,35078.41203
951.30498,195,35098.41757
-208.886584,41,35108.4083
31.465793,50,35119.51309
-77.947431,36,35130.39469
-1208.054394,173,35147.81296
-11035.31056,1500,35471.06929
-194.034925,29,35480.71688
-9.538768,44,35491.90442
-141.932205,23,35501.29594
-90.340117,39,35512.0074
-4594.329717,585,35551.70556
-47.721641,57,35563.57228
-3571.015533,543,35717.79704
-1241.689539,184,35735.71502
-36.100325,41,35746.91227
-136.808785,27,35756.57399
216.789021,67,35768.41685
-77.794608,35,35779.45658
1577.193223,289,35803.83117
184.086358,71,35815.37003
-5.031472,51,35827.28237
701.229615,152,35844.37885
-28.284983,47,35855.64091
-119.133274,12,35865.9802
-6308.502969,1500,36106.31116
907.143808,191,36228.64231
-37.667931,90,36241.45444
-5.017301,66,36253.52161
-115.262827,14,36262.41162
-138.024678,14,36272.36846
16.889001,75,36284.65577
-94.29941,53,36295.15877
-62.03964,39,36306.13189
-160.330851,14,36316.59624
-156.172048,17,36326.27822
-194.733547,13,36336.23044
-6.408185,51,36347.40467
142.118285,74,36359.4124
54.729272,43,36369.52267
-43.628403,53,36380.61072
-89.625218,43,36392.09119
-52.748231,53,36403.79938
123.882219,85,36415.74031
-1176.480044,168,36433.76574
-128.963488,15,36442.67194
-196.342769,36,36453.21251
-4919.224705,727,36634.71876
-1141.94519,165,36651.70237
-126.350145,48,36662.94725
-124.64426,15,36673.42395
1594.400949,274,36695.97034
1796.231027,393,36842.14579
-1128.293343,164,36858.97953
-3.377319,60,36870.51985
-121.142397,40,36881.49921
-133.580293,14,36891.19528
1379.065278,242,36913.50772
-44.894299,45,36924.20379
-5187.250899,1030,37113.96311
-10432.38863,1500,37310.30418
54.295192,64,37322.03133
-20.200529,39,37333.41879
-27.554495,53,37344.31833
-1319.38914,572,37492.64194
-17.707195,61,37504.15913
-171.030063,55,37516.15295
-762.361793,234,37537.02457
-8.440657,55,37548.44883
-50.26756,39,37559.85379
-1.841194,67,37570.77392
-11.947789,49,37582.27405
-220.942183,70,37594.08833
-33.24229,51,37605.40222
176.756049,95,37618.85434
-1256.360857,183,37636.5235
146.347203,88,37649.45241
18.601514,51,37822.42535
-28.925043,43,37833.50111
514.442361,143,37850.22575
802.439811,198,37869.81458
-128.472747,48,37880.94353
-1309.53756,185,37898.79058
-2746.531486,637,38068.84083
-65.191668,49,38079.2756
10.17853,65,38091.10469
-47.831205,57,38102.69492
-170.993061,12,38112.06901
-199.933836,27,38122.53714
-1409.540069,368,38150.6175
-1914.913619,359,38177.88858
-9663.17667,1330,38386.69731
-52.95999,61,38397.52586
-120.605977,12,38407.38869
16.912814,52,38418.71081
15.679217,54,38430.24014
-134.248998,13,38439.38355
-137.438482,12,38449.70674
52.443045,93,38569.681
-120.29019,11,38579.88752
-28.229019,42,38590.006
-335.676561,408,38620.51745
863.127084,182,38640.19008
-144.278458,35,38650.4835
-67.121044,60,38662.0556
268.112768,90,38676.13811
-34.575069,17,38685.75265
226.312898,70,38697.37464
41.540659,51,38708.86727
-71.185793,44,38719.83721
-54.599404,39,38731.01107
326.084256,112,38746.06339
-95.369856,40,38755.92684
47.463087,50,38767.30787
-196.108461,16,38903.12365
-527.589348,273,38927.01081
549.233783,138,38943.04793
127.203978,55,38955.16767
-119.734278,16,38964.59926
-18.347602,50,38976.55443
-1216.921767,175,38994.09141
-14.976913,45,39005.72746
640.778155,152,39022.26001
-117.078973,17,39032.43787
-66.76192,63,39044.43541
-120.2124,12,39053.80438
-19.24259,44,39064.54629
-62.570528,41,39075.93654
62.628959,79,39087.39911
0.118803,53,39099.01577
-24.027111,41,39110.18569
-143.543718,13,39120.46111
671.129612,155,39300.79811
-54.274457,43,39310.90196
78.148233,55,39323.07299
-37.448376,42,39334.73733
250.210554,99,39349.16116
37.50076,46,39360.29558
22.793593,40,39370.35916
-194.645253,23,39380.878
750.584317,162,39398.34945
74.024231,51,39409.78324
886.432201,178,39427.43604
-8777.666482,1500,39642.21768
-73.416081,67,39653.84436
-159.538163,41,39664.72267
112.513945,71,39783.83989
755.835113,159,39800.55734
-32.144233,37,39811.85753
75.388088,63,39824.63411
-116.7366,18,39834.23742
415.927398,113,39848.76087
-981.433286,207,39867.64877
-9113.24675,1500,40087.91201
-38.123942,38,40099.18452
-8.610751,45,40110.29446
-109.347105,47,40121.05512
-30.976974,56,40132.48468
695.453582,149,40149.71204
-175.540602,28,40160.40246
22.831116,37,40171.33745
-48.360346,55,40181.59121
-5.743536,9,40309.3349
-130.491315,43,40320.52533
-865.292641,222,40340.12308
73.190725,47,40350.74495
-9.116726,41,40361.06072
-112.411839,30,40371.53075
24.64073,53,40383.06146
-104.665461,34,40392.74608
-15.108126,55,40404.00941
1062.446777,205,40422.80068
-134.634749,28,40433.50261
-26.577784,40,40444.30739
-109.865093,36,40455.71515
-144.244463,33,40466.02524
-22.078882,53,40477.63281
16.510567,54,40489.2541
220.494214,77,40501.8529
77.350677,75,40513.45932
43.112489,48,40524.18407
-71.453364,39,40534.92031
-4.497555,68,40676.45435
-123.89222,11,40686.59026
-112.694462,34,40697.17947
-798.239857,358,40723.93643
-82.467706,43,40734.49258
-1076.179413,190,40752.71838
-71.920008,109,40767.4578
146.852397,106,40782.38152
-147.035208,13,40792.43371
933.507084,558,40988.25931
